0,1,2
13016,11076,2
13016,9294,2
13016,2966,2
13016,11694,2
13016,9509,2
13016,8364,2
13016,2476,2
13016,4510,2
13016,766,2
13016,13389,2
13016,15105,2
13016,7403,2
13016,16009,2
13016,456,2
13016,8133,2
13016,8107,2
13016,12713,2
13016,6176,2
13016,14685,2
13016,5641,2
13016,4355,2
13016,4975,2
13016,15813,2
13016,10890,2
13016,14108,2
13016,11787,2
13016,17299,2
13016,12016,2
13016,9066,2
13016,1553,2
13016,5858,2
13016,10021,2
13016,1010,2
13016,1196,2
13016,7027,2
13016,14724,2
13016,12784,2
13016,1152,2
13016,3980,2
13016,16789,2
13016,1322,2
13016,15267,2
13016,17302,2
13016,4372,2
13016,9163,2
13016,9145,2
13016,9855,2
13016,12941,2
13016,11806,2
13016,4346,2
13016,8152,2
13016,13790,2
13016,12283,2
13016,16102,2
13016,14036,2
13016,12457,2
13016,1569,2
13016,18499,2
13016,13501,2
13016,16727,2
13016,280,2
13016,4145,2
13016,6294,2
13016,18689,2
13016,12511,2
13016,4842,2
13016,2269,2
13016,6173,2
13016,1120,2
13016,9479,2
13016,4077,2
13016,3509,2
13016,4379,2
13016,6260,2
13016,16733,2
13016,18200,2
13016,8596,2
13016,1040,2
13016,10188,2
13016,13304,2
13016,10139,2
13016,5414,2
13016,14964,2
13016,11434,2
13016,320,2
13016,4948,2
13016,5126,2
13016,7782,2
13016,3640,2
13016,9092,2
13016,4925,2
13016,13472,2
13016,9552,2
13016,659,2
13016,12309,2
13016,2701,2
13016,10155,2
13016,14459,2
13016,8534,2
13016,7968,2
13016,3913,2
13016,2378,2
13016,13050,2
13016,8729,2
13016,7170,2
13016,13381,2
13016,14054,2
13016,8307,2
13016,18585,2
13016,9380,2
13016,3430,2
13016,14244,2
13016,3056,2
13016,1744,2
13016,9528,2
13016,26,2
13016,8635,2
13016,14259,2
13016,7612,2
13016,14407,2
13016,4176,2
13016,9995,2
13016,12687,2
13016,187,2
13016,2108,2
13016,11690,2
13016,315,2
13016,3257,2
13016,4658,2
13016,17877,2
13016,15724,2
13016,5660,2
13016,1330,2
13016,13722,2
13016,14490,2
13016,15529,2
13016,16192,2
13016,14850,2
13016,10683,2
13016,2932,2
13016,12907,2
13016,18230,2
13016,16018,2
13016,11686,2
13016,9305,2
13016,14447,2
13016,17847,2
13016,5270,2
13016,18209,2
13016,17715,2
13016,15619,2
13016,6187,2
13016,18215,2
13016,12617,2
13016,12012,2
13016,7156,2
13016,12242,2
13016,11075,2
13016,1773,2
13016,10634,2
13016,8780,2
13016,2787,2
13016,23,2
13016,11688,2
13016,4287,2
13016,608,2
13016,11113,2
13016,3945,2
13016,1384,2
13016,1291,2
13016,17199,2
13016,9626,2
13016,16039,2
13016,3366,2
13016,13680,2
13016,14488,2
13016,17640,2
13016,2537,2
13016,7329,2
13016,18178,2
13016,145,2
13016,7482,2
13016,150,2
13016,9508,2
13016,5814,2
13016,10620,2
13016,5997,2
13016,9974,2
13016,3767,2
13016,13246,2
13016,3440,2
13016,10093,2
13016,45,2
13016,10809,2
13016,15159,2
13016,10473,2
13016,15979,2
13016,5736,2
13016,322,2
13016,11761,2
13016,5965,2
13016,17595,2
13016,7044,2
13016,14240,2
13016,9532,2
13016,6820,2
13016,4993,2
13016,8553,2
13016,5152,2
13016,4388,2
13016,14455,2
13016,11355,2
13016,1486,2
13016,3151,2
13016,7458,2
13016,5010,2
13016,12631,2
13016,4141,2
13016,10235,2
13016,8696,2
13016,14819,2
13016,4586,2
13016,16359,2
13016,5433,2
13016,866,2
13016,2803,2
13016,3741,2
13016,15144,2
13016,7466,2
13016,9475,2
13016,13262,2
13016,2613,2
13016,17241,2
13016,14813,2
13016,3812,2
13016,16360,2
13016,7369,2
13016,4488,2
13016,12255,2
13016,3871,2
13016,10017,2
13016,11530,2
13016,13080,2
13016,5329,2
13016,11990,2
13016,15317,2
13016,12624,2
13016,10205,2
13016,15368,2
13016,15611,2
13016,18165,2
13016,15747,2
13016,746,2
13016,13558,2
13016,12103,2
13016,1658,2
13016,6476,2
13016,1436,2
13016,14103,2
13016,16747,2
13016,18435,2
13016,16739,2
13016,5838,2
13016,15061,2
13016,13353,2
13016,7448,2
13016,8334,2
13016,1957,2
13016,4652,2
13016,4442,2
13016,9878,2
13016,14097,2
13016,13511,2
13016,12824,2
13016,12704,2
13016,7158,2
13016,8798,2
13016,858,2
13016,14229,2
13016,16072,2
13016,232,2
13016,6543,2
13016,1367,2
13016,5621,2
13016,13313,2
13016,3315,2
13016,10528,2
13016,2075,2
13016,5674,2
13016,2933,2
13016,3579,2
13016,6361,2
13016,437,2
13016,10630,2
13016,15902,2
13016,6420,2
13016,8255,2
13016,4219,2
13016,7648,2
13016,3933,2
13016,11093,2
13016,2726,2
13016,16681,2
13016,12551,2
13016,3806,2
13016,17224,2
13016,1823,2
13016,5312,2
13016,7301,2
13016,512,2
13016,6584,2
13016,3817,2
13016,2365,2
13016,17173,2
13016,11502,2
13016,5020,2
13016,576,2
13016,3716,2
13016,5337,2
13016,14121,2
13016,9773,2
13016,7375,2
13016,7283,2
13016,2171,2
13016,15553,2
13016,11575,2
13016,6661,2
13016,18422,2
13016,8441,2
13016,10401,2
13016,4284,2
13016,18221,2
13016,14863,2
13016,17869,2
13016,16232,2
13016,16100,2
13016,18430,2
13016,9558,2
13016,5436,2
13016,10986,2
13016,3566,2
13016,9103,2
13016,17852,2
13016,13314,2
13016,9621,2
13016,1576,2
13016,13583,2
13016,14422,2
13016,15066,2
13016,9631,2
13016,15075,2
13016,7653,2
13016,9872,2
13016,2416,2
13016,3183,2
13016,9314,2
13016,4678,2
13016,6771,2
13016,14368,2
13016,5024,2
13016,6864,2
13016,16850,2
13016,13252,2
13016,18669,2
13016,6406,2
13016,12723,2
13016,2284,2
13016,396,2
13016,14810,2
13016,10509,2
13016,2743,2
13016,18330,2
13016,6713,2
13016,18581,2
13016,18212,2
13016,13228,2
13016,332,2
13016,17368,2
13016,13899,2
13016,12525,2
13016,279,2
13016,816,2
13016,9431,2
13016,16373,2
13016,3498,2
13016,17949,2
13016,7160,2
13016,12057,2
13016,16031,2
13016,11923,2
13016,9901,2
13016,16226,2
13016,17384,2
13016,12500,2
13016,1528,2
13016,4733,2
13016,9731,2
13016,13257,2
13016,17088,2
13016,5616,2
13016,14470,2
13016,15440,2
13016,10084,2
13016,3416,2
13016,4439,2
13016,5871,2
13016,2403,2
13016,16816,2
13016,14073,2
13016,11051,2
13016,1895,2
13016,6189,2
13016,14896,2
13016,2708,2
13016,1052,2
13016,17035,2
13016,16068,2
13016,8801,2
13016,4538,2
13016,10734,2
13016,2669,2
13016,13662,2
13016,918,2
13016,9477,2
13016,15284,2
13016,17830,2
13016,7474,2
13016,16959,2
13016,972,2
13016,18333,2
13016,17928,2
13016,12286,2
13016,9920,2
13016,6238,2
13016,15507,2
13016,17574,2
13016,18501,2
13016,6937,2
13016,4670,2
13016,16444,2
13016,3432,2
13016,5205,2
13016,8880,2
13016,4973,2
13016,7870,2
13016,62,2
13016,10142,2
13016,11574,2
13016,10481,2
13016,15651,2
13016,3431,2
13016,15973,2
13016,3453,2
13016,7902,2
13016,18664,2
13016,12220,2
13016,5253,2
13016,7794,2
13016,8921,2
13016,1293,2
13016,16436,2
13016,9083,2
13016,2399,2
13016,17921,2
13016,3270,2
13016,13320,2
13016,8744,2
13016,14679,2
13016,13197,2
13016,8712,2
13016,4036,2
13016,13137,2
13016,10313,2
13016,14884,2
13016,2531,2
13016,1533,2
13016,14950,2
13016,3726,2
13016,14888,2
13016,4516,2
13016,2388,2
13016,6841,2
13016,864,2
13016,8298,2
13016,18177,2
13016,12901,2
13016,4052,2
13016,17282,2
13016,3825,2
13016,16767,2
13016,8117,2
13016,3401,2
13016,9115,2
13016,4029,2
13016,13682,2
13016,10247,2
13016,12246,2
13016,6511,2
13016,5211,2
13016,15962,2
13016,17933,2
13016,3955,2
13016,12407,2
13016,15370,2
13016,10474,2
13016,7868,2
13016,17573,2
13016,12414,2
13016,14364,2
13016,1761,2
13016,1485,2
13016,17020,2
13016,8189,2
13016,4585,2
13016,4129,2
13016,2693,2
13016,6874,2
13016,9546,2
13016,4234,2
13016,6849,2
13016,5247,2
13016,17609,2
13016,3703,2
13016,13030,2
13016,3848,2
13016,15970,2
13016,1420,2
13016,14241,2
13016,4846,2
13016,8228,2
13016,2091,2
13016,18294,2
13016,5195,2
13016,12263,2
13016,13905,2
13016,9571,2
13016,1577,2
13016,9510,2
13016,18703,2
13016,15928,2
13016,13747,2
13016,13882,2
