0,1,2
15773,10249,7
15774,10249,7
15775,10249,7
15776,10249,7
15777,10249,7
15778,10249,7
15779,10249,7
15780,10249,7
15781,10249,7
15782,10249,7
15783,10249,7
15784,10249,7
15785,10249,7
15786,10249,7
15787,10249,7
15788,10249,7
15789,10249,7
15790,10249,7
15791,10249,7
15792,10249,7
15793,10249,7
15794,10249,7
15795,10249,7
15796,10249,7
15797,10249,7
15798,10249,7
15799,10249,7
15800,10249,7
15801,10249,7
15802,10249,7
15803,10249,7
15804,10249,7
15805,10249,7
15806,10249,7
15808,10249,7
15809,10249,7
15810,10249,7
15811,10249,7
15812,10249,7
15813,10249,7
15814,10249,7
15815,10249,7
15816,10249,7
15817,10249,7
15819,10249,7
15818,10249,7
15820,10249,7
15821,10249,7
15822,10249,7
15824,10249,7
15823,10249,7
15825,10249,7
15826,10249,7
15827,10249,7
15829,10249,7
15828,10249,7
15830,10249,7
15831,10249,7
15832,10249,7
15833,10249,7
15834,10249,7
15835,10249,7
15836,10249,7
15837,10249,7
15838,10249,7
15840,10249,7
15839,10249,7
15841,10249,7
15842,10249,7
15843,10249,7
15844,10249,7
15845,10249,7
15846,10249,7
15847,10249,7
15848,10249,7
15850,10249,7
15849,10249,7
15851,10249,7
15854,10249,7
15853,10249,7
15852,10249,7
15855,10249,7
15856,10249,7
15858,10249,7
15859,10249,7
15857,10249,7
15860,10249,7
15862,10249,7
15863,10249,7
15864,10249,7
15865,10249,7
15866,10249,7
15867,10249,7
15868,10249,7
15869,10249,7
15861,10249,7
15870,10249,7
15871,10249,7
15872,10249,7
15873,10249,7
15874,10249,7
15875,10249,7
15876,10249,7
15877,10249,7
15878,10249,7
15879,10249,7
15880,10249,7
15881,10249,7
15882,10249,7
15883,10249,7
15885,10249,7
15886,10249,7
15887,10249,7
15888,10249,7
15889,10249,7
15890,10249,7
15891,10249,7
15892,10249,7
15893,10249,7
15894,10249,7
15895,10249,7
15896,10249,7
15897,10249,7
15898,10249,7
15899,10249,7
15900,10249,7
15901,10249,7
15902,10249,7
15903,10249,7
15904,10249,7
15905,10249,7
15906,10249,7
15907,10249,7
15908,10249,7
15910,10249,7
15911,10249,7
15912,10249,7
15913,10249,7
15914,10249,7
15915,10249,7
15916,10249,7
15917,10249,7
15918,10249,7
15919,10249,7
15909,10249,7
15920,10249,7
15921,10249,7
15923,10249,7
15922,10249,7
15925,10249,7
15924,10249,7
15927,10249,7
15926,10249,7
15929,10249,7
15928,10249,7
15930,10249,7
15932,10249,7
15931,10249,7
15933,10249,7
15935,10249,7
15936,10249,7
15934,10249,7
15937,10249,7
15938,10249,7
15939,10249,7
15940,10249,7
15941,10249,7
15942,10249,7
15943,10249,7
15944,10249,7
15945,10249,7
15946,10249,7
15947,10249,7
15949,10249,7
15948,10249,7
15950,10249,7
15951,10249,7
15952,10249,7
15953,10249,7
15954,10249,7
15956,10249,7
15957,10249,7
15955,10249,7
15958,10249,7
15959,10249,7
15960,10249,7
15962,10249,7
15963,10249,7
15964,10249,7
15965,10249,7
15966,10249,7
15961,10249,7
15967,10249,7
15969,10249,7
15970,10249,7
15971,10249,7
15972,10249,7
15968,10249,7
15974,10249,7
15975,10249,7
15976,10249,7
15977,10249,7
15978,10249,7
15973,10249,7
15980,10249,7
15979,10249,7
15981,10249,7
15982,10249,7
15983,10249,7
15984,10249,7
15985,10249,7
15987,10249,7
15988,10249,7
15989,10249,7
15986,10249,7
15990,10249,7
15991,10249,7
15992,10249,7
15994,10249,7
15995,10249,7
15996,10249,7
15997,10249,7
15998,10249,7
15999,10249,7
16000,10249,7
16001,10249,7
16002,10249,7
16003,10249,7
15993,10249,7
16005,10249,7
16006,10249,7
16007,10249,7
16008,10249,7
16009,10249,7
16010,10249,7
16011,10249,7
16012,10249,7
16013,10249,7
16014,10249,7
16015,10249,7
16004,10249,7
16017,10249,7
16018,10249,7
16019,10249,7
16020,10249,7
16016,10249,7
16021,10249,7
16022,10249,7
16023,10249,7
16025,10249,7
16024,10249,7
16027,10249,7
16026,10249,7
16028,10249,7
16029,10249,7
16031,10249,7
16030,10249,7
16032,10249,7
16034,10249,7
16033,10249,7
16035,10249,7
16036,10249,7
16037,10249,7
16039,10249,7
16038,10249,7
16040,10249,7
16041,10249,7
16043,10249,7
16044,10249,7
16042,10249,7
16045,10249,7
16046,10249,7
16047,10249,7
16049,10249,7
16050,10249,7
16051,10249,7
16052,10249,7
16048,10249,7
16054,10249,7
16055,10249,7
16056,10249,7
16053,10249,7
16057,10249,7
16058,10249,7
16059,10249,7
16060,10249,7
16061,10249,7
16062,10249,7
16063,10249,7
16064,10249,7
16065,10249,7
16066,10249,7
16067,10249,7
16068,10249,7
16069,10249,7
16070,10249,7
16071,10249,7
16072,10249,7
16073,10249,7
16074,10249,7
16075,10249,7
16076,10249,7
16077,10249,7
